Model,Baseline_AUC,Tuned_AUC,Improvement
RandomForest,0.9444137224782384,0.9255340501792115,-0.018879672299026873
XGBoost,0.962236559139785,0.961305342208568,-0.0009312169312170049
LightGBM,0.9701293736132446,0.96705239802014,-0.0030769755931046028
StackingEnsemble,0.9680983102918588,0.9637890424987199,-0.004309267793138893
