Term,drug_candidate,Adjusted P-value,P-value,Combined Score,Overlap,Genes,query_name,query_description
methotrexate DB00563 human GSE41831 sample 2600,methotrexate DB00563 human GSE41831 sample 2600,0.0168536732764817,0.0011933959400976,46.27470913701126,5/270,IGHG2;GNLY;CD8A;XAF1;TMEM154,Drug_Pert_GEO,GEO drugs that reverse TB upregulation
dmnq CTD 00002569,dmnq CTD 00002569,0.005674221606541,0.0011560563646971,46.243284058606335,5/157,AKAP12;SPP1;HMOX1;TNFAIP3;TIMP1,Fallback_DSigDB,Combined signature vs DSigDB
TBTO CTD 00000264,TBTO CTD 00000264,0.0183221932489092,0.0056354324907242,46.03246549484361,3/72,BAG3;TNFAIP3;BIRC3,Fallback_DSigDB,Combined signature vs DSigDB
apigenin CTD 00007429,apigenin CTD 00007429,0.0100485901617379,0.0024182354828481,46.0035500446402,4/112,MMP9;FBP1;GEM;BIRC3,Fallback_DSigDB,Combined signature vs DSigDB
thapsigargin 446378 human GSE19519 sample 3236,thapsigargin 446378 human GSE19519 sample 3236,0.0062801585355731,0.0012791387293217,45.943874681496816,5/399,HCAR3;RGS2;CCL4;PTGS2;FILIP1L,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
resveratrol DB02709 human GSE32357 sample 3499,resveratrol DB02709 human GSE32357 sample 3499,0.0116759849370603,0.0006580396135048436,45.89036429496927,6/360,GALNT4;GNLY;CD8A;DNAJA4;FGL2;S100A12,Drug_Pert_GEO,GEO drugs that reverse TB upregulation
Cadmium Chloride 24947 rat GSE9480 sample 3414,Cadmium Chloride 24947 rat GSE9480 sample 3414,0.0105575008706557,0.0025665409475312,45.82183316655407,4/281,EGR1;HBB;TIMP1;PTGS2,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
Pyruvic acid BOSS,Pyruvic acid BOSS,0.0058100833478331,0.0011891665917527,45.74689441273373,5/158,CLEC4D;LPL;HMOX1;HBB;HSPD1,Fallback_DSigDB,Combined signature vs DSigDB
proscillaridin HL60 UP,proscillaridin HL60 UP,0.0016763015450461,0.0002177625371601983,45.58807001555535,8/323,EGR1;TNFAIP6;RNF24;ARID5B;TNFAIP3;PTGS2;GEM;BIRC3,Fallback_DSigDB,Combined signature vs DSigDB
meclofenoxate HL60 UP,meclofenoxate HL60 UP,0.0011688404412386,0.0001398239032509803,45.33234553336151,9/387,IL1RN;IGHG1;VCAN;FCGR3B;COL14A1;FN1;S100A12;FRMD4B;IGHA1,Fallback_DSigDB,Combined signature vs DSigDB
Arsenenous acid CTD 00000922,Arsenenous acid CTD 00000922,9.723342625377292e-05,4.63449041022656e-06,45.30865826682105,20/1283,EGR1;IL1RN;IFITM2;SPARC;TNFAIP6;EPAS1;CXCR4;INHBA;PTGS2;MMP9;TM4SF1;HSPD1;SOCS2;VCAN;COL1A2;GPNMB;HMOX1;XAF1;HSPA1B;BIRC3,Fallback_DSigDB,Combined signature vs DSigDB
coenzyme Q10 5281915 mouse GSE15129 sample 3454,coenzyme Q10 5281915 mouse GSE15129 sample 3454,0.010658193066496,0.0026330358692526,45.29368510077715,4/283,EGR1;BAG3;PPIF;TM4SF1,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
Tetradioxin BOSS,Tetradioxin BOSS,0.0408468893953159,0.0162624064321538,45.126141525786544,2/39,HBB;HMOX1,Fallback_DSigDB,Combined signature vs DSigDB
"1,2-NAPHTHOQUINONE CTD 00001871","1,2",0.0408468893953159,0.0162624064321538,45.126141525786544,2/39,HMOX1;PTGS2,Fallback_DSigDB,Combined signature vs DSigDB
Clofop [ISO] CTD 00000269,Clofop [ISO] CTD 00000269,0.0408468893953159,0.0162624064321538,45.126141525786544,2/39,SPP1;HMOX1,Fallback_DSigDB,Combined signature vs DSigDB
Ammonium hexachloroplatinate(IV) CTD 00000945,Ammonium hexachloroplatinate(IV) CTD 00000945,0.0408468893953159,0.0162624064321538,45.126141525786544,2/39,HMOX1;PTGS2,Fallback_DSigDB,Combined signature vs DSigDB
nimesulide CTD 00000666,nimesulide CTD 00000666,0.0187879932829605,0.0058558838877264,45.03636856812869,3/73,PTGS2;MMP9;EREG,Fallback_DSigDB,Combined signature vs DSigDB
gamma-Tocotrienol 5282349 human GSE21946 sample 3242,gamma,0.0066232276569387,0.0013664214745589,44.79255500332176,5/405,EGR1;CCL20;NEAT1;GEM;TM4SF1,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
DAPT 5311272 rat GSE31668 sample 2648,DAPT 5311272 rat GSE31668 sample 2648,0.0108170487434501,0.0027007086218863,44.77462195896132,4/285,C3;GPNMB;CCL20;COL6A3,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
Alitretinoin CTD 00003402,Alitretinoin CTD 00003402,0.0037779654836806,0.0006885077283343149,44.43039636155576,6/212,SOCS2;FN1;SPP1;LPL;SERPINB9;PTGS2,Fallback_DSigDB,Combined signature vs DSigDB
quercetin DB04216 mouse GSE4262 sample 3433,quercetin DB04216 mouse GSE4262 sample 3433,0.0184256671243054,0.001336522712357,44.30937743701482,5/277,CTSL;CXCR4;FBLN1;HSPA1B;EREG,Drug_Pert_GEO,GEO drugs that reverse TB upregulation
