Term,drug_candidate,Adjusted P-value,P-value,Combined Score,Overlap,Genes,query_name,query_description
adenosine triphosphate 5957 human GSE30903 sample 3220,adenosine triphosphate 5957 human GSE30903 sample 3220,1.3388533041146419e-11,5.278002512935513e-14,1066.3932710305698,12/246,SOCS2;HCAR3;EGR1;IL1RN;RGS2;VCAN;TNFAIP6;CCL20;SPP1;PPIF;TIMP1;PTGS2,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
monensin HL60 UP,monensin HL60 UP,5.179612501902098e-07,5.808911217086465e-09,1046.1005475342995,6/29,HCAR3;IL1RN;RGS2;GPNMB;SPP1;TNFAIP3,Fallback_DSigDB,Combined signature vs DSigDB
tracazolate HL60 DOWN,tracazolate HL60 DOWN,4.7342192798388604e-06,8.849007999698806e-08,944.1261501106982,5/23,EGR1;HCAR3;RGS2;CCL4;PTGS2,Fallback_DSigDB,Combined signature vs DSigDB
cephaeline-2429,cephaeline,1.3162227526918e-10,9.039991433322802e-14,922.0725763713172,12/100,IL1RN;RGS2;CCL20;HIST1H1D;OSM;ARID5B;TNFAIP3;HIVEP2;PTGS2;FILIP1L;GEM;BIRC3,Fallback_Old_CMAP_up,Combined signature vs Old_CMAP_up
prochlorperazine-2675,prochlorperazine,1.3162227526918e-10,9.039991433322802e-14,922.0725763713172,12/100,RGS2;VCAN;TNFAIP6;BAG3;GNLY;CCL20;CCL4;SPP1;ARID5B;HIVEP2;INHBA;GEM,Fallback_Old_CMAP_up,Combined signature vs Old_CMAP_up
anisomycin-1304,anisomycin,1.3162227526918e-10,9.039991433322802e-14,922.0725763713172,12/100,EGR1;TNFAIP6;CCL20;CCL4;PPIF;OSM;ARID5B;INHBA;PTGS2;FILIP1L;GEM;BIRC3,Fallback_Old_CMAP_up,Combined signature vs Old_CMAP_up
propofol DB00818 human GSE4386 sample 2804,propofol DB00818 human GSE4386 sample 2804,1.3388533041146419e-11,4.6898071024264163e-14,903.1757881620237,13/323,EGR1;TNFAIP6;PTGS2;NEAT1;GEM;TM4SF1;MEDAG;RGS2;ARL5B;COL1A2;BAG3;COL6A3;FILIP1L,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
isotretinoin PC3 UP,isotretinoin PC3 UP,5.811161753730202e-06,1.1133534201071885e-07,881.7426765760633,5/24,C3;SPARC;IGKC;APOC1;HMOX1,Fallback_DSigDB,Combined signature vs DSigDB
MAGNESIUM CTD 00006230,MAGNESIUM CTD 00006230,6.898731355273365e-06,1.386193683536237e-07,826.1465691073544,5/25,MARCO;SPARC;COL1A2;TNFAIP6;SPP1,Fallback_DSigDB,Combined signature vs DSigDB
soman 7305 rat GSE13428 sample 2632,soman 7305 rat GSE13428 sample 2632,9.79239753434769e-12,1.28678022790377e-14,780.4417289100054,15/476,EGR1;STEAP4;TNFAIP6;CCL20;PLEK;PTGS2;MMP9;GEM;C3;RGS2;GPNMB;BAG3;CCL4;SPP1;TIMP1,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
digoxin-2423,digoxin,2.9730830335132076e-09,2.7226035105432305e-12,732.6237298678811,11/100,EGR1;RGS2;TNFAIP6;CCL20;CCL4;HIST1H1D;ARID5B;TNFAIP3;PTGS2;GEM;BIRC3,Fallback_Old_CMAP_up,Combined signature vs Old_CMAP_up
heme TTD 00008407,heme TTD 00008407,0.000368403773495601,2.5822694403897266e-05,722.1087027443646,3/12,HBB;HMOX1;PTGS2,Fallback_DSigDB,Combined signature vs DSigDB
gossypol HL60 UP,gossypol HL60 UP,1.4606928397087082e-08,8.873367717856637e-11,720.7769784417769,9/72,EGR1;TNFAIP6;CCL20;CCL4;TNFAIP3;HIVEP2;FILIP1L;XAF1;BIRC3,Fallback_DSigDB,Combined signature vs DSigDB
terfenadine HL60 UP,terfenadine HL60 UP,7.212887052086201e-08,6.066914342876244e-10,704.404882726866,8/60,IL1RN;RGS2;TNFAIP6;GPNMB;CCL4;SPP1;INHBA;XAF1,Fallback_DSigDB,Combined signature vs DSigDB
letrozole 3902 human GSE5462 sample 3097,letrozole 3902 human GSE5462 sample 3097,1.2268390518522404e-09,6.448562690419135e-12,699.4687135821596,11/277,C3;COL1A2;GPNMB;APOC1;SPP1;HBB;COL6A3;LIPA;MMP9;FBP1;TM4SF1,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
beta-escin PC3 UP,beta,2.2333839040177937e-08,1.4610922736565005e-10,663.0083738675463,9/76,EGR1;CCL20;HIST1H1D;TNFAIP3;HMOX1;INHBA;NEAT1;PTGS2;GEM,Fallback_DSigDB,Combined signature vs DSigDB
IVERMECTIN CTD 00006182,IVERMECTIN CTD 00006182,2.635770560858928e-06,4.4903301250513384e-08,630.9911964369484,6/40,BAG3;CTSL;IL1R1;PPIF;GEM;HSPD1,Fallback_DSigDB,Combined signature vs DSigDB
thioridazine-2690,thioridazine,2.471095765434371e-08,7.354451682840389e-11,570.653468760778,10/100,TNFAIP6;IL1R1;EPAS1;GNLY;CCL20;CCL4;SPP1;ARID5B;GEM;BIRC3,Fallback_Old_CMAP_up,Combined signature vs Old_CMAP_up
beta-escin-4544,beta,2.471095765434371e-08,7.354451682840389e-11,570.653468760778,10/100,EGR1;CCL20;HIST1H1D;HMOX1;HBB;TNFAIP3;INHBA;PTGS2;GEM;BIRC3,Fallback_Old_CMAP_up,Combined signature vs Old_CMAP_up
lycorine-2195,lycorine,2.471095765434371e-08,7.354451682840389e-11,570.653468760778,10/100,TNFAIP6;IL1R1;CCL20;OSM;ARID5B;INHBA;NEAT1;FILIP1L;GEM;BIRC3,Fallback_Old_CMAP_up,Combined signature vs Old_CMAP_up
mebendazole-2338,mebendazole,2.471095765434371e-08,7.354451682840389e-11,570.653468760778,10/100,EGR1;IL1RN;RGS2;TNFAIP6;IL1R1;CCL20;TNFAIP3;TIMP1;PTGS2;MMP9,Fallback_Old_CMAP_up,Combined signature vs Old_CMAP_up
strophanthidin-2525,strophanthidin,2.471095765434371e-08,7.354451682840389e-11,570.653468760778,10/100,EGR1;RGS2;TNFAIP6;RNF24;CCL20;CCL4;TNFAIP3;PTGS2;GEM;BIRC3,Fallback_Old_CMAP_up,Combined signature vs Old_CMAP_up
emetine-2145,emetine,2.471095765434371e-08,7.354451682840389e-11,570.653468760778,10/100,IL1RN;RGS2;TNFAIP6;CCL20;CCL4;HIST1H1D;ARID5B;TNFAIP3;FILIP1L;BIRC3,Fallback_Old_CMAP_up,Combined signature vs Old_CMAP_up
8-azaguanine-1833,8,2.471095765434371e-08,7.354451682840389e-11,570.653468760778,10/100,IL1RN;TNFAIP6;CCL20;CCL4;PPIF;ARID5B;INHBA;TIMP1;GEM;EREG,Fallback_Old_CMAP_up,Combined signature vs Old_CMAP_up
menadione-2439,menadione,2.471095765434371e-08,7.354451682840389e-11,570.653468760778,10/100,EGR1;TNFAIP6;IL1R1;BAG3;HMOX1;MMP19;NEAT1;PTGS2;GEM;BIRC3,Fallback_Old_CMAP_up,Combined signature vs Old_CMAP_up
helveticoside-2192,helveticoside,2.471095765434371e-08,7.354451682840389e-11,570.653468760778,10/100,EGR1;IL1RN;TNFAIP6;CCL20;CCL4;ARID5B;TNFAIP3;PTGS2;GEM;BIRC3,Fallback_Old_CMAP_up,Combined signature vs Old_CMAP_up
celecoxib DB00482 human GSE11237 sample 3296,celecoxib DB00482 human GSE11237 sample 3296,2.9232145374464e-08,5.377792841557108e-10,559.145608072446,9/221,HCAR3;TNFAIP6;CCL20;PLEK;CCL4;PPIF;PTGS2;PLTP;MMP9,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
mephentermine HL60 UP,mephentermine HL60 UP,2.0900567717674786e-07,2.148656494340398e-09,555.3088316848101,8/70,HCAR3;EGR1;IL1RN;RGS2;GPNMB;EPAS1;PTGS2;FILIP1L,Fallback_DSigDB,Combined signature vs DSigDB
adenosine triphosphate 5957 human GSE30903 sample 3221,adenosine triphosphate 5957 human GSE30903 sample 3221,1.2150162401395044e-08,1.3687103346032344e-10,552.9361282149931,10/271,HCAR3;EGR1;RGS2;VCAN;CCL20;PPIF;HBB;TIMP1;PTGS2;NEAT1,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
Chromium(III) nicotinate 56843898 mouse GSE4420 sample 2590,Chromium(III) nicotinate 56843898 mouse GSE4420 sample 2590,1.2903069436767676e-08,1.6955413188919415e-10,535.2514680486954,10/277,C3;EGR1;STEAP4;COL1A2;GPNMB;SPP1;COL6A3;NEAT1;LIPA;LGMN,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
Dinoprostone CTD 00007049,Dinoprostone CTD 00007049,7.447963415005574e-09,3.828392409582304e-11,505.6109371382677,11/127,IL1RN;IL1R1;CCL20;CCL4;HMOX1;CXCR4;TIMP1;PTGS2;MMP9;EREG;BIRC3,Fallback_DSigDB,Combined signature vs DSigDB
CHEMBL55802 CTD 00003118,CHEMBL55802 CTD 00003118,0.0005805491119945241,5.2826809188518965e-05,504.8113501315131,3/15,TIMP1;PTGS2;MMP9,Fallback_DSigDB,Combined signature vs DSigDB
phorbol 12-myristate 13-acetate (PMA) 27924 human GSE45417 sample 3246,phorbol 12,1.175941284013882e-08,7.72628964529489e-11,495.5983635925735,11/349,C3;HCAR3;RGS2;GPNMB;CCL20;CCL4;APOC1;SPP1;COL6A3;TIMP1;MMP9,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
menadione HL60 UP,menadione HL60 UP,8.504127209686507e-12,3.973891219479676e-15,483.5968128837211,19/334,EGR1;TNFAIP6;IL1R1;EPAS1;CCL20;TNFAIP3;NEAT1;PTGS2;GEM;HSPD1;RGS2;BAG3;CTSL;DNAJA4;CCL4;PPIF;HMOX1;FILIP1L;HSPA1B,Fallback_DSigDB,Combined signature vs DSigDB
paclitaxel DB01229 human GSE19136 sample 2576,paclitaxel DB01229 human GSE19136 sample 2576,1.288880311467578e-09,1.862543802698812e-12,475.8767082616088,14/360,ERRFI1;HLA-DRB5;IFITM2;SPARC;IL1R1;ARRDC3;FN1;DCN;AKAP12;COL3A1;CCDC80;DPYSL3;HMOX1;HSPA1B,Drug_Pert_GEO,GEO drugs that reverse TB upregulation
toluene CTD 00006907,toluene CTD 00006907,1.711636341230436e-06,2.4794732045861456e-08,475.6143966317513,7/62,TNFAIP3;CXCR4;HMOX1;HIVEP2;PTGS2;FILIP1L;BIRC3,Fallback_DSigDB,Combined signature vs DSigDB
azathioprine DB00993 human GSE38713 sample 3194,azathioprine DB00993 human GSE38713 sample 3194,1.2045274029327857e-08,1.1079752720800919e-10,470.9082362031936,11/361,HCAR3;EGR1;VCAN;COL1A2;TNFAIP6;SPP1;HBB;COL6A3;PTGS2;MMP9;GEM,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
5253409 MCF7 UP,5253409 MCF7 UP,0.00013319276634753523,6.865153777759796e-06,468.9334664055757,4/25,EGR1;HMOX1;NEAT1;HSPA1B,Fallback_DSigDB,Combined signature vs DSigDB
bleomycin DB00290 mouse GSE25640 sample 3122,bleomycin DB00290 mouse GSE25640 sample 3122,2.6617341651574125e-08,4.197215503533371e-10,465.8716952834742,10/304,IGHG3;IL1RN;COL1A2;GPNMB;SPP1;COL6A3;TIMP1;PTGS2;LIPA;LGMN,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
DICHLOROMETHANE CTD 00006313,DICHLOROMETHANE CTD 00006313,7.263112000111673e-06,1.5776360503162636e-07,461.6580977666666,6/49,TNFAIP3;CXCR4;HMOX1;HIVEP2;FILIP1L;BIRC3,Fallback_DSigDB,Combined signature vs DSigDB
bleomycin DB00290 mouse GSE43695 sample 3104,bleomycin DB00290 mouse GSE43695 sample 3104,2.9232145374464e-08,5.235722909718803e-10,450.2178348913256,10/311,EGR1;IL1RN;VCAN;COL1A2;GPNMB;SPP1;COL6A3;TIMP1;MEDAG;LGMN,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
O-XYLENE CTD 00001228,O,7.642197419527034e-06,1.7855601447493076e-07,447.5769998450828,6/50,TNFAIP3;CXCR4;HMOX1;HIVEP2;FILIP1L;BIRC3,Fallback_DSigDB,Combined signature vs DSigDB
ETHYLBENZENE CTD 00000178,ETHYLBENZENE CTD 00000178,7.642197419527034e-06,1.7855601447493076e-07,447.5769998450828,6/50,TNFAIP3;CXCR4;HMOX1;HIVEP2;FILIP1L;BIRC3,Fallback_DSigDB,Combined signature vs DSigDB
adenosine triphosphate 5957 human GSE30903 sample 3219,adenosine triphosphate 5957 human GSE30903 sample 3219,9.195348335781669e-08,2.1749838376356114e-09,442.26060174958405,9/259,RGS2;TNFAIP6;CCL20;CCL4;PPIF;HBB;TIMP1;PTGS2;MMP9,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
astemizole HL60 UP,astemizole HL60 UP,8.138051573119233e-06,2.0154987540902773e-07,434.19727817155456,6/51,RGS2;TNFAIP6;GPNMB;CCL20;CCL4;SPP1,Fallback_DSigDB,Combined signature vs DSigDB
lanatoside C-2193,lanatoside C,4.542397478749674e-07,1.7678744766196074e-09,433.8828609373099,9/100,EGR1;TNFAIP6;CCL20;CCL4;ARID5B;TNFAIP3;PTGS2;GEM;BIRC3,Fallback_Old_CMAP_up,Combined signature vs Old_CMAP_up
terfenadine-1381,terfenadine,4.542397478749674e-07,1.7678744766196074e-09,433.8828609373099,9/100,IL1RN;RGS2;TNFAIP6;GPNMB;CCL20;CCL4;SPP1;TNFAIP3;XAF1,Fallback_Old_CMAP_up,Combined signature vs Old_CMAP_up
puromycin-2448,puromycin,4.542397478749674e-07,1.7678744766196074e-09,433.8828609373099,9/100,IL1RN;TNFAIP6;IL1R1;BAG3;OSM;HMOX1;TNFAIP3;GEM;BIRC3,Fallback_Old_CMAP_up,Combined signature vs Old_CMAP_up
etoposide-1626,etoposide,4.542397478749674e-07,1.7678744766196074e-09,433.8828609373099,9/100,EGR1;TNFAIP6;EPAS1;CCL20;CCL4;PPIF;TNFAIP3;PTGS2;FILIP1L,Fallback_Old_CMAP_up,Combined signature vs Old_CMAP_up
4-Aminobenzohydrazide CTD 00001642,4,3.467846375325233e-05,1.2439270235903315e-06,430.8394130944191,5/38,EGR1;TNFAIP6;CCL4;HMOX1;BIRC3,Fallback_DSigDB,Combined signature vs DSigDB
curcumin 969516 human GSE10896 sample 3408,curcumin 969516 human GSE10896 sample 3408,3.356481504395238e-07,1.1026548963190665e-08,423.8502175803985,8/215,C3;IL1RN;RGS2;PLEK;CCL4;SPP1;TIMP1;TM4SF1,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
UNII-9XX54M675G CTD 00004634,UNII,2.6267718891231e-06,4.296122248565819e-08,422.189424054984,7/67,EGR1;COL1A2;CCL20;HMOX1;HSPA1B;EREG;HSPD1,Fallback_DSigDB,Combined signature vs DSigDB
lipopolysaccharide 11970143 human GSE40885 sample 2475,lipopolysaccharide 11970143 human GSE40885 sample 2475,4.0700370374143386e-08,8.022412031697116e-10,421.3172659730801,10/325,C3;IL1RN;TNFAIP6;CCL20;PLEK;CCL4;SCGB1A1;PPIF;TIMP1;PTGS2,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
5-aminosalicylic acid 4075 human GSE38713 sample 3195,5,1.191137864173145e-07,3.0305045601295355e-09,417.9664456509594,9/269,HCAR3;EGR1;RGS2;BAG3;CCL20;CCL4;PTGS2;PLTP;TM4SF1,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
curcumin 969516 human GSE10896 sample 3407,curcumin 969516 human GSE10896 sample 3407,1.191137864173145e-07,3.1304543079451904e-09,415.6551330258566,9/270,HCAR3;EGR1;RGS2;CCL20;CCL4;PPIF;TIMP1;MMP9;TM4SF1,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
calphostin C CTD 00002460,calphostin C CTD 00002460,0.0007765257377939552,7.837829876798801e-05,415.3199946350019,3/17,COL1A2;FN1;HMOX1,Fallback_DSigDB,Combined signature vs DSigDB
puromycin HL60 UP,puromycin HL60 UP,1.7033080675867768e-10,4.775630096037692e-13,411.4028180034459,16/274,IL1RN;TNFAIP6;IL1R1;OSM;ARID5B;TNFAIP3;NEAT1;PTGS2;HSPD1;RGS2;BAG3;DNAJA4;HIVEP2;FILIP1L;HSPA1B;BIRC3,Fallback_DSigDB,Combined signature vs DSigDB
Lipopolysaccharide 11970143 human GSE5504 sample 3483,Lipopolysaccharide 11970143 human GSE5504 sample 3483,1.2045274029327857e-08,9.999415928753018e-11,407.5084481252716,12/468,SOCS2;HCAR3;IL1RN;ARL5B;TNFAIP6;CCL20;CCL4;PPIF;TIMP1;FOLR3;PTGS2;GEM,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
soman 7305 rat GSE13428 sample 2636,soman 7305 rat GSE13428 sample 2636,2.218445946953613e-08,3.2066892794336056e-10,404.3105146828476,11/399,EGR1;RGS2;TNFAIP6;GPNMB;BAG3;PLEK;CCL4;SPP1;TIMP1;PTGS2;GEM,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
Lipopolysaccharide 11970143 human GSE3140 sample 3594,Lipopolysaccharide 11970143 human GSE3140 sample 3594,4.8138718956728155e-08,1.0753721711752672e-09,402.4355943880336,10/335,C3;SOCS2;IL1RN;TNFAIP6;BAG3;CCL20;CCL4;FOLR3;PTGS2;GEM,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
etoposide HL60 UP,etoposide HL60 UP,2.6754221536633482e-08,1.8752959021004776e-10,402.2815393087597,11/147,HCAR3;EGR1;TNFAIP6;CCL20;CCL4;PPIF;SPP1;TNFAIP3;INHBA;PTGS2;FILIP1L,Fallback_DSigDB,Combined signature vs DSigDB
COBALT CTD 00005696,COBALT CTD 00005696,1.1571718510999951e-08,6.488814118317729e-11,392.1890121601272,12/173,TNFAIP6;CCL20;FN1;SPP1;OSM;HMOX1;TNFAIP3;INHBA;TIMP1;PTGS2;MMP9;DCN,Fallback_DSigDB,Combined signature vs DSigDB
soman 7305 rat GSE13428 sample 2635,soman 7305 rat GSE13428 sample 2635,1.2150162401395044e-08,1.4369443050270088e-10,388.0193416230305,12/483,C3;EGR1;RGS2;GPNMB;BAG3;PLEK;CCL4;SPP1;TIMP1;PTGS2;MMP9;GEM,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
AC1L1WKQ CTD 00007050,AC1L1WKQ CTD 00007050,0.0008644208485115715,9.371291441807692e-05,380.2862565875762,3/18,TIMP1;PTGS2;MMP9,Fallback_DSigDB,Combined signature vs DSigDB
prochlorperazine PC3 UP,prochlorperazine PC3 UP,0.0002138887049860871,1.2693395108987412e-05,373.4654530043152,4/29,TNFAIP3;HMOX1;PTGS2;NEAT1,Fallback_DSigDB,Combined signature vs DSigDB
Cigarette Smoke 57288536 human GSE8823 sample 2478,Cigarette Smoke 57288536 human GSE8823 sample 2478,2.081352100440961e-07,6.017049436228796e-09,371.46883290820455,9/291,HCAR3;GPNMB;BAG3;APOC1;SPP1;NEAT1;LIPA;MMP9;FBP1,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
rimexolone HL60 DOWN,rimexolone HL60 DOWN,5.224258970488081e-05,2.075056133137789e-06,369.7265014059194,5/42,HCAR3;EGR1;RGS2;PTGS2;FILIP1L,Fallback_DSigDB,Combined signature vs DSigDB
FERROUS SULFATE CTD 00001009,FERROUS SULFATE CTD 00001009,1.4138845386061231e-05,3.964162257774178e-07,366.1954456612119,6/57,EGR1;IL1RN;EPAS1;CCL20;SPP1;HMOX1,Fallback_DSigDB,Combined signature vs DSigDB
Colorectal Adenocarcinoma DB00482 human GSE11237 sample 2458,Colorectal Adenocarcinoma DB00482 human GSE11237 sample 2458,2.597946121245508e-07,8.071446807276395e-09,353.0007557225417,9/301,HCAR3;IL1RN;RGS2;TNFAIP6;PLEK;CCL4;PTGS2;PLTP;MMP9,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
soman 7305 rat GSE13428 sample 2638,soman 7305 rat GSE13428 sample 2638,4.38293950492281e-08,9.215115910481595e-10,346.45818081024186,11/441,EGR1;RGS2;GPNMB;BAG3;PLEK;CCL4;SPP1;TIMP1;PTGS2;GEM;TM4SF1,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
etynodiol HL60 DOWN,etynodiol HL60 DOWN,6.319625890721413e-05,2.6282556274495597e-06,344.3964458710792,5/44,HCAR3;EGR1;RGS2;PLEK;PTGS2,Fallback_DSigDB,Combined signature vs DSigDB
STOCK1N-35215 PC3 UP,STOCK1N,5.8116233276750615e-06,1.1405989708521149e-07,340.8743334524742,7/77,TNFAIP3;HMOX1;INHBA;NEAT1;PTGS2;GEM;HSPA1B,Fallback_DSigDB,Combined signature vs DSigDB
albendazole CTD 00007095,albendazole CTD 00007095,1.725842890919378e-05,5.403339892130763e-07,338.53331173601583,6/60,CTSL;IL1R1;BAG3;PPIF;GEM;HSPD1,Fallback_DSigDB,Combined signature vs DSigDB
"16,16-dimethylprostaglandin E2 PC3 UP","16,16",0.001121558149853,0.00012997496316054035,323.6806038860264,3/20,AKAP12;EPAS1;PTGS2,Fallback_DSigDB,Combined signature vs DSigDB
Cobalt sulfate CTD 00001238,Cobalt sulfate CTD 00001238,0.0002946145479495267,1.89985082322592e-05,321.4754385523104,4/32,TNFAIP6;CCL4;TNFAIP3;HMOX1,Fallback_DSigDB,Combined signature vs DSigDB
8-azaguanine HL60 UP,8,1.471621109621272e-10,3.438367078554374e-13,320.8043518101303,19/428,EGR1;IL1RN;TNFAIP6;IL1R1;EPAS1;CCL20;ARID5B;INHBA;PTGS2;GEM;EREG;RGS2;BAG3;DNAJA4;CCL4;PPIF;TIMP1;FILIP1L;BIRC3,Fallback_DSigDB,Combined signature vs DSigDB
sulconazole-4998,sulconazole,5.453919381682721e-06,3.7458237511557154e-08,320.1489378957071,8/100,EGR1;DNAJA4;HMOX1;TNFAIP3;FRMD4B;INHBA;NEAT1;GEM,Fallback_Old_CMAP_up,Combined signature vs Old_CMAP_up
thioridazine-5227,thioridazine,5.453919381682721e-06,3.7458237511557154e-08,320.1489378957071,8/100,EGR1;STEAP4;FN1;HMOX1;TNFAIP3;CXCR4;NEAT1;GEM,Fallback_Old_CMAP_up,Combined signature vs Old_CMAP_up
8-azaguanine-1791,8,5.453919381682721e-06,3.7458237511557154e-08,320.1489378957071,8/100,AKAP12;EGR1;RGS2;CCL20;PPIF;TNFAIP3;INHBA;PTGS2,Fallback_Old_CMAP_up,Combined signature vs Old_CMAP_up
ouabain-1302,ouabain,5.453919381682721e-06,3.7458237511557154e-08,320.1489378957071,8/100,EGR1;TNFAIP6;CCL20;CCL4;TNFAIP3;PTGS2;GEM;BIRC3,Fallback_Old_CMAP_up,Combined signature vs Old_CMAP_up
alprostadil-2938,alprostadil,5.453919381682721e-06,3.7458237511557154e-08,320.1489378957071,8/100,IL1RN;TNFAIP6;GNLY;OSM;SERPINB9;INHBA;TIMP1;GEM,Fallback_Old_CMAP_up,Combined signature vs Old_CMAP_up
methylbenzethonium chloride-4325,methylbenzethonium chloride,5.453919381682721e-06,3.7458237511557154e-08,320.1489378957071,8/100,EGR1;EPAS1;HMOX1;TNFAIP3;INHBA;NEAT1;PTGS2;BIRC3,Fallback_Old_CMAP_up,Combined signature vs Old_CMAP_up
digitoxigenin-1339,digitoxigenin,5.453919381682721e-06,3.7458237511557154e-08,320.1489378957071,8/100,EGR1;TNFAIP6;CCL20;CCL4;TNFAIP3;PTGS2;GEM;BIRC3,Fallback_Old_CMAP_up,Combined signature vs Old_CMAP_up
sanguinarine-2927,sanguinarine,5.453919381682721e-06,3.7458237511557154e-08,320.1489378957071,8/100,EGR1;TNFAIP6;BAG3;DNAJA4;HMOX1;MMP19;INHBA;GEM,Fallback_Old_CMAP_up,Combined signature vs Old_CMAP_up
trichostatin A-7407,trichostatin A,5.453919381682721e-06,3.7458237511557154e-08,320.1489378957071,8/100,EGR1;RGS2;FN1;HMOX1;CXCR4;SERPINB9;NEAT1;GEM,Fallback_Old_CMAP_up,Combined signature vs Old_CMAP_up
prenylamine-2886,prenylamine,5.453919381682721e-06,3.7458237511557154e-08,320.1489378957071,8/100,EGR1;RGS2;HIST1H1D;HMOX1;TNFAIP3;FRMD4B;GEM;BIRC3,Fallback_Old_CMAP_up,Combined signature vs Old_CMAP_up
cephaeline-5247,cephaeline,5.453919381682721e-06,3.7458237511557154e-08,320.1489378957071,8/100,C3;SOCS2;EGR1;HIST1H1D;TNFAIP3;FRMD4B;HIVEP2;BIRC3,Fallback_Old_CMAP_up,Combined signature vs Old_CMAP_up
diethylstilbestrol-4369,diethylstilbestrol,5.453919381682721e-06,3.7458237511557154e-08,320.1489378957071,8/100,EGR1;RGS2;IL1R1;TNFAIP3;CXCR4;SERPINB9;GEM;BIRC3,Fallback_Old_CMAP_up,Combined signature vs Old_CMAP_up
clorgiline-5005,clorgiline,5.453919381682721e-06,3.7458237511557154e-08,320.1489378957071,8/100,EGR1;VCAN;TNFAIP3;CXCR4;INHBA;GEM;DCN;BIRC3,Fallback_Old_CMAP_up,Combined signature vs Old_CMAP_up
PRISTANE 15979 mouse GSE17297 sample 3228,PRISTANE 15979 mouse GSE17297 sample 3228,1.3053563024695694e-06,4.9744195494898175e-08,317.53113205279453,8/261,C3;COL1A2;PLEK;SPP1;TIMP1;LIPA;PLTP;LGMN,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
formaldehyde 712 rat GSE7002 sample 3549,formaldehyde 712 rat GSE7002 sample 3549,4.168747008695071e-06,1.9172949448663268e-07,314.6047227255437,7/207,STEAP4;CCL20;PLEK;CCL4;SPP1;PTGS2;FBP1,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
soman 7305 rat GSE13428 sample 2634,soman 7305 rat GSE13428 sample 2634,1.851654496600372e-07,5.109690463680395e-09,313.9519373360636,10/394,SOCS2;EGR1;RGS2;TNFAIP6;BAG3;CCL4;TIMP1;PTGS2;FILIP1L;GEM,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
oxygen CTD 00006454,oxygen CTD 00006454,8.734984176118089e-11,1.2245304919791712e-13,304.7677526860586,21/524,EGR1;IL1RN;EPAS1;CCL20;ARRDC3;LPL;HBB;CXCR4;INHBA;PTGS2;MMP9;TM4SF1;EREG;HSPD1;HCAR3;COL3A1;CCDC80;COL1A2;SPP1;HMOX1;BIRC3,Fallback_DSigDB,Combined signature vs DSigDB
Phorbol 12-myristate 13-acetate CTD 00006852,Phorbol 12,1.471621109621272e-10,2.773890985308203e-13,303.4497217930504,20/483,EGR1;IL1RN;IL1R1;CRTAM;FN1;LPL;NFATC2;TNFAIP3;SERPINB9;PTGS2;MMP9;SOCS2;COL1A2;GNLY;CCL4;SPP1;HMOX1;TIMP1;CCL18;BIRC3,Fallback_DSigDB,Combined signature vs DSigDB
Shogaol CTD 00001852,Shogaol CTD 00001852,0.0012293844918953,0.00015108790718152863,300.5409826909726,3/21,HMOX1;PTGS2;MMP9,Fallback_DSigDB,Combined signature vs DSigDB
Anandamide CTD 00002912,Anandamide CTD 00002912,0.0012293844918953,0.00015108790718152863,300.5409826909726,3/21,TIMP1;PTGS2;MMP9,Fallback_DSigDB,Combined signature vs DSigDB
thioridazine HL60 UP,thioridazine HL60 UP,2.561289202563996e-05,8.73710802743793e-07,299.45062675658284,6/65,RGS2;TNFAIP6;CCL4;SPP1;ARID5B;NEAT1,Fallback_DSigDB,Combined signature vs DSigDB
butein CTD 00001872,butein CTD 00001872,0.006342461395039,0.0013218400851343,298.984305122014,2/11,HMOX1;MMP9,Fallback_DSigDB,Combined signature vs DSigDB
