,accuracy_mean,accuracy_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,roc_auc_mean,roc_auc_std,cv_time_seconds
RandomForest,0.9260255989497865,0.0033507709926092004,0.9596108937010621,0.0018106698577482296,0.9294698255719874,0.0024914197452345593,0.9917771465426151,0.002113472965844835,0.9406693067656174,0.006045134036688956,119.61659097671509
XGBoost,0.9153265507056121,0.0026500333755413606,0.9509640864996662,0.0015711990917027343,0.9765974239655113,0.0032350024979857614,0.9266610404402179,0.0036479807143898883,0.9574024117752012,0.004443604603438927,244.60502552986145
LightGBM,0.9418444371512964,0.004661708146915569,0.9671484281066028,0.002634680495949351,0.9681606395624099,0.0031957704134634823,0.9661453213124203,0.0032291816289591,0.9656964344696203,0.004549429952515718,94.44523096084595
StackingEnsemble,0.9054151624548737,0.003913057712054834,0.9444694167043997,0.002451738760491359,0.984112765457201,0.0021453977747685634,0.9079188176690955,0.0052566591522646,0.963370504844905,0.004046445353172629,2053.9590995311737
